id,judul,daerah-asal,overview,karakter-utama,penulis,tema,genre
1,Atu Belah,Nanggroe Aceh Darussalam,Sebuah keluarga miskin di Tanah Gayo mengalami tragedi ketika ibu mereka tertelan oleh batu bernama Atu Belah setelah kelalaian Sulung menyebabkan belalang-belahng yang menjadi makanan mereka terbang.,"['Ibu', 'Ayah', 'Sulung']",Azka Press,"['Kemiskinan', ' Pengorbanan', 'Berubah']",Mitos
2,Pangeran Amat Mude,Nanggroe Aceh Darussalam,"Pangeran Amat Mude, setelah menghadapi berbagai ujian dan bantuan dari makhluk-makhluk gaib, berhasil mengalahkan paman jahatnya dan menjadi raja yang adil bagi Negeri Alas.","['Pangeran Amat Mude', 'Paman']",Dian Kristiani,"['Perlawanan', 'Keberanian', 'Kerajaan']",Legenda
3,Kisah Si Raja Parkit,Nanggroe Aceh Darussalam,Seorang raja burung parkit memimpin kelompoknya dalam menghadapi pemburu dan akhirnya mengorbankan dirinya untuk menyelamatkan teman-temannya.,['Raja Parkit'],Ari Wulandari,"['Kecerdikan', 'Kebersamaan', 'Pengorbanan']",Fabel
4,Terjadinya Danau Toba,Nanggroe Aceh Darussalam,"Seorang pemuda yang menemukan ikan emas besar yang ternyata adalah jelmaan seorang gadis cantik, mereka menikah dan memiliki anak, dan cerita ini berujung pada terbentuknya Danau Toba.","['Pemuda', 'Gadis Jelmaan Ikan']",Dede Firmansyah,"['Cinta', 'Berubah']",Legenda
5,Putri Ular,Sumatera Utara,"Sebuah kisah tentang seorang putri cantik yang sering berkata buruk, dan akhirnya berubah menjadi ular karena ucapan sembrono yang diucapkannya.",['Putri'],Dian Kristiani,"['Ucapan', 'Berubah', ' Hukuman']",Mitos
6,Kisah Dayang Bandir dan Sandean Raja,Sumatera Utara,"Kisah dua saudara, Dayang Bandir dan Sandean Raja, yang menghadapi intrik paman mereka untuk merebut takhta kerajaan, di mana Sandean Raja akhirnya menemukan keberhasilan dan keadilan di Kerajaan Barat.","['Dayang Bandir', 'Sandean Raja', 'Paman Sareang']",Purnama Sari Andess Pane,"['Kekuasaan', 'Kesetiaan', 'Kerajaan']",Sage
7,Malin Kundang,Sumatera Barat,"Seorang anak yang pergi merantau dan menjadi kaya, namun lupa akan ibunya yang malang dan akhirnya dikutuk menjadi batu.","['Malin Kundang', 'Ibu']",Moch Isnaeni,"['Durhaka', 'Hukuman', 'Berubah']",Legenda
8,Si Lebai yang Malang,Sumatera Barat,Seorang guru yang lugu dan bimbang gagal memutuskan antara dua undangan pesta pernikahan dan akhirnya kehilangan kedua hadiah yang dijanjikan.,['Si Lebai'],Yudhistira Ikranegara,"['Kebimbangan', 'Kegagalan']",Legenda
9,Siamang Putih,Sumatera Barat,"Puti Juilan, cucu seorang raja, menemukan cinta dalam mimpi yang menjadi kenyataan, tetapi janji setia mengubahnya menjadi siamang putih ketika cintanya tidak datang kembali.","['Puti Juilan', 'Sutan Rumandang']",Joni Syahputra,"['Kesetiaan', 'Berubah', 'Janji']",Mitos
10,Legenda Ikan Patin,Riau,"Seorang pria menemukan bayi perempuan di sungai dan membesarkannya yang merupakan siluman ikan, namun ketika bayi itu tumbuh dewasa dan mempunyai keluarga, dia kembali menjadi ikan karena tertawa, yang merupakan pantangan baginya.","['Awang Gading', 'Dayang Kumunah']",Daryatun,"['Asal-usul', 'Pantangan', 'Berubah']",Legenda
11,Burung Tempua dan Burung Puyuh,Riau,"Burung Tempua dan Burung Puyuh bersahabat dan membandingkan sarang mereka, akhirnya menyadari kelebihan masing-masing.","['Burung Tempua', 'Burung Puyuh']",Irwan Effendi Daryatun,"['Persahabatan', 'Kesetiaan']",Fabel
12,Putri Mambang Linau,Riau,"Bujang Enok yang menemukan bidadari berselendang jingga, menikahinya dengan syarat tidak boleh menari, tetapi akhirnya melanggar dan bidadari kembali ke kayangan.","['Bujang Enok', 'Putri Mambang Linau']",Dian Kristiani,"['Janji', 'Hukuman', 'Pantangan']",Mitos
13,Si Kelingking,Jambi,"Cerita ini mengisahkan tentang Kelingking, seorang pemuda pemberani yang berhasil menyelamatkan negerinya dari ancaman Nenek Gergasi, dan kemudian menjadi raja setelah menemukan cara untuk memperbesar tubuhnya.","['Kelingking', 'Nenek Gergasi']",Dian Kristiani,"['Raksasa', 'Keberanian', 'Berubah']",Sage
14,Ibu Kami Seekor Kucing,Jambi,"Mimi dan Mini yang mencari ibu baru karena malu memiliki ibu seekor kucing, namun akhirnya menyadari ibu terbaik adalah ibu mereka yang asli.","['Mimi', 'Mini', 'Ibu Kucing']",Ariska Ulandari,"['Kesetiaan', 'Pencarian', 'Hikmah']",Fabel
15,Si Pahit Lidah,Sumatera Selatan,Cerita ini mengisahkan perjalanan Serunting dari kehidupan sombong dan semena-mena menuju pemahaman yang lebih dalam tentang kebaikan dan penggunaan kekuatan dengan bijaksana.,"['Serunting', 'Aria Tebing']",Dian Kristiani,"['Asal-usul', 'Saudara', 'Hikmah']",Mitos
16,Legenda Pulau Kemaro,Sumatera Selatan,"Kesalahpahaman tentang mas kawin membawa Tan Boen An dan Siti Fatimah pada akhir tragis di Sungai Musi, meninggalkan gundukan tanah yang dikenal sebagai Pulau Kemaro.","['Tan Boen An', 'Siti Fatimah']",Lilis Hu dan Lia Sidik,"['Salah Paham', 'Pengorbanan']",Legenda
